link,directory
http://www.bbc.co.uk/earth/story/20150430-the-orange-tips-search-for-a-mate,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/Theeternalquestoftheorange-tipbutterfly
http://www.bbc.com/autos/story/20160211-the-go-kart-for-helicopter-parents,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/Thego-kartforhelicopterparents
http://www.bbc.com/autos/story/20160408-nasas-missing-junkyard-rover-goes-to-auction,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/Lostfor50yearsamoonroverprototypeheadstoauction
http://www.bbc.com/autos/story/20160409-meet-darpas-long-range-autonomous-submarine-hunter,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/MeetDarpasnewautonomoussubmarine-hunter
http://www.bbc.com/autos/story/20160719-hide-and-seek-on-the-us-mexico-line,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/HideandseekontheUS-Mexicoline
http://www.bbc.com/autos/story/20160824-how-to-roll-like-a-real-finn,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/HowtotakearoadtriplikeaFinn
http://www.bbc.com/autos/story/20160907-is-warsaw-the-next-motor-city,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/CanPolandbuildthenextitcar
http://www.bbc.com/autos/story/20160927-flat-out-in-britains-fiercest-cat,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/Flat-outinBritainsfiercestcat
http://www.bbc.com/autos/story/20161024-top-gear-drives-ferraris-spiky-spiteful-f12tdf,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/TopGeardrivesFerrarisspikyspitefulF12tdf
http://www.bbc.com/autos/story/20161206-driving-bentleys-bentayga-diesel,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/DrivingBentleysmightyBentaygaDiesel
http://www.bbc.com/autos/story/20161223-last-minute-gifts-for-green-minded-drivers,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/Last-minutegiftsforgreen-mindeddrivers
http://www.bbc.com/culture/story/20170428-how-one-creature-haunts-our-thoughts,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/Howonecreaturehauntsourthoughts
http://www.bbc.com/culture/story/20170630-are-women-less-important-than-cows-in-india,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/‘ArewomenlessimportantthancowsinIndia’
http://www.bbc.com/culture/story/20170707-the-gorilla-that-loves-to-look-at-smartphones,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/Thegorillathatlovestolookatsmartphones
http://www.bbc.com/earth/story/20141117-why-seals-have-sex-with-penguins,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/Sealsdiscoveredhavingsexwithpenguins
http://www.bbc.com/earth/story/20141212-record-year-for-bitterns,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/Boomingyearforbitterns
