link,directory
http://www1.folha.uol.com.br/internacional/en/brazil/2014/10/1533948-personal-attacks-dominate-presidential-debate.shtml,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/PersonalAttacksDominatePresidentialDebate
http://www1.folha.uol.com.br/internacional/en/brazil/2014/11/1544632-dilma-rousseff-says-to-tighten-control-on-inflation-and-cut-expenses.shtml,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/DilmaRousseffSaystoTightenControlonInflationandCutExpenses
http://www1.folha.uol.com.br/internacional/en/brazil/2014/12/1569114-petrobras-may-hire-foreign-companies-to-replace-suppliers-banned-after-probe.shtml,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/PetrobrasMayHireForeignCompaniestoReplaceSuppliersBannedAfterProbe
http://www1.folha.uol.com.br/internacional/en/brazil/2015/02/1586066-workers-party-received-us200-million-in-bribes-according-to-informer.shtml,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/PetrobrasScandalWorkersPartyReceivedUS200MillioninBribesAccordingtoInformer
http://www1.folha.uol.com.br/internacional/en/brazil/2015/02/1586100-banco-do-brasils-aldemir-bendine-appointed-petrobras-president.shtml,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/BancodoBrasilsAldemirBendineAppointedPetrobrasPresident
http://www1.folha.uol.com.br/internacional/en/brazil/2015/02/1592283-a-lawyer-is-not-a-gang-member-says-brazils-justice-minister.shtml,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/ALawyerIsNotaGangMemberSaysBrazilsJusticeMinister
http://www1.folha.uol.com.br/internacional/en/brazil/2015/03/1608996-former-president-of-petrobras-says-she-is-embarrassed-by-bribery-at-the-company.shtml,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/FormerPresidentofPetrobrasSaysSheIsEmbarrassedbyBriberyattheCompany
http://www1.folha.uol.com.br/internacional/en/brazil/2015/05/1634220-ex-petrobras-director-sentenced-to-five-years-for-money-laundering.shtml,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/Ex-PetrobrasDirectorSentencedtoFiveYearsforMoneyLaundering
http://www1.folha.uol.com.br/internacional/en/brazil/2015/08/1671697-brazil-speaker-cunha-and-senator-collor-are-charged-in-petrobras-corruption-scheme.shtml?cmpid=newsEN,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/BrazilSpeakerCunhaandSenatorCollorAreChargedinPetrobrasCorruptionScheme
http://www1.folha.uol.com.br/internacional/en/brazil/2015/08/1675794-lula-da-silva-warns-that-he-is-not-dead-and-will-come-back-to-fly.shtml,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/LuladaSilvaSaysHeIsNotDeadandWarnsHeWillMakeaComeback
http://www1.folha.uol.com.br/internacional/en/brazil/2015/08/1675804-mayor-posted-selfies-as-she-ran-maranhao-town-via-whatsapp.shtml,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/MayorPostedSelfiesasSheRanMaranhãoTownviaWhatsApp
http://www1.folha.uol.com.br/internacional/en/brazil/2015/09/1677713-dilma-asks-team-to-defend-surplus-in-budget-and-support-levy.shtml?cmpid=newsEN,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/DilmaAsksTeamtoDefendSurplusinBudgetandSupportLevy
http://www1.folha.uol.com.br/internacional/en/brazil/2015/09/1680416-rousseff-considering-replacing-chief-of-staff-in-bid-to-resolve-political-crisis.shtml?cmpid=newsEN,/docs/Documentos/UFSCar/LaLIC/linkpics/app/static/noticias/noticias_backup/RousseffConsideringReplacingChiefofStaffinBidtoResolvePoliticalCrisis
